车名,价格,过户次数,排量,地区,变速箱,颜色,出厂日期
Jeep 自由光 2019款 2.0T 四驱探享版 自动驾驶智慧包 国V,27.98万,1次,2.0T,北京(京),自动,白色,Mar-19
长城 风骏5 2017款 2.4L欧洲版汽油两驱进取型大双排4G69S4N 0过户,8.34万,0次,2.4L,北京(京),手动,银灰色,Mar-19
奔驰GLA级 2019款 GLA 200 时尚型,30.70万,1次,1.6T,北京(京),自动,红色,Mar-19
宝马X1 2019款 sDrive18Li 尊享型,32.22万,1次,1.5T,厦门(闽),自动,白色,Mar-19
大众 甲壳虫 2018款 180TSI 尚乐型(进口) 0过户,21.69万,0次,1.2T,北京(京),自动,蓝色,Mar-19
路虎 发现神行 2019款 240PS PURE版 国V,39.71万,1次,2.0T,北京(京),自动,白色,Mar-19
丰田 普拉多 2019款 3.5L 自动TX-L尊享版后挂备胎,54.79万,1次,3.5L,北京(京),自动,白色,Apr-19
马自达CX-4 2018款 2.0L 自动两驱蓝天探索版 国VI,17.45万,3次,2.0L,烟台(鲁),自动,红色,Apr-19
丰田 RAV4 2019款 2.0L CVT两驱风尚版 国VI,21.36万,1次,2.0L,南通(苏),自动,白色,Apr-19
哈弗H7 2019款 2.0T 智享型 国V,17.69万,1次,2.0T,北京(京),自动,白色,Apr-19
长城 风骏6 2017款 2.4L汽油四驱精英型4G69 0过户,10.51万,0次,2.4L,北京(京),手动,白色,Apr-19
丰田 亚洲龙 2019款 双擎 2.5L XLE尊贵版 国V,27.98万,1次,2.5L,北京(京),自动,银灰色,May-19
马自达 昂克赛拉 2019款 云控版 三厢 1.5L 自动豪华型 国VI,15.19万,1次,1.5L,西安(陕),自动,白色,May-19
WEY VV6 2019款 2.0T 两驱超豪型 国VI 0过户,16.82万,0次,2.0T,西安(陕),自动,白色,May-19
本田 缤智 2019款 220 TURBO CVT精英版 国VI,15.83万,4次,1.5T,福州(闽),自动,黑色,May-19
丰田C-HR 2018款 2.0L 领先版 国VI,16.48万,2次,2.0L,南宁(桂),自动,香槟色,May-19
宝马5系 2019款 改款 525Li M运动套装,46.34万,1次,2.0T,北京(京),自动,白色,May-19
英菲尼迪QX50 2018款 2.0T 两驱时尚版,38.08万,2次,2.0T,北京(京),自动,蓝色,May-19
本田 雅阁 2018款 260TURBO 豪华版 国VI,21.69万,1次,1.5T,北京(京),自动,白色,Jun-19
日产 纳瓦拉 2017款 2.5L自动两驱豪华版QR25,17.56万,2次,2.5L,北京(京),自动,咖啡色,Jun-19
宝马3系GT 2019款 330i xDrive M运动曜夜版(进口),48.82万,2次,2.0T,北京(京),自动,白色,Jun-19
广汽传祺 传祺GM6 2019款 270T 自动尊享版（七座）国VI,15.17万,3次,1.5T,保定(冀),自动,黑色,Jul-19
凯迪拉克XT6 2020款 28T 六座豪华型,45.56万,1次,2.0T,南通(苏),自动,深灰色,Jul-19
日产 纳瓦拉 2017款 2.5L自动两驱豪华版QR25,17.56万,1次,2.5L,北京(京),自动,黑色,Jul-19
哈弗H7 2019款 2.0T 悦享型 国VI 0过户,16.50万,0次,2.0T,郑州(豫),自动,白色,Jul-19
福特 蒙迪欧 2018款 EcoBoost 180 智控时尚型 国VI,20.93万,2次,1.5T,温州(浙),自动,蓝色,Jul-19
别克GL8 2018款 ES 28T 舒适型 国VI,31.47万,1次,2.0T,北京(京),自动,深灰色,Jul-19
本田UR-V 2017款 240TURBO 两驱豪华版 国V 0过户,29.07万,0次,1.5T,惠州(粤),自动,白色,Jul-19
东风风光ix5 2019款 220T CVT智尚型 国VI,11.92万,2次,1.5T,盐城(苏),自动,红色,Jul-19
福特 蒙迪欧 2018款 EcoBoost 180 智控时尚型 国VI,20.93万,1次,1.5T,重庆(渝),自动,蓝色,Jul-19
丰田C-HR 2018款 2.0L 领先版 国VI 0过户,16.48万,0次,2.0L,佛山(粤),自动,红色,Jul-19
吉利 博越 2020款 1.8TD DCT两驱智联型4G互联版 0过户,13.00万,0次,1.8T,西安(陕),自动,白色,Jul-19
斯柯达 速派 2019款 TSI280 DSG舒适版,18.23万,2次,1.4T,徐州(苏),自动,黑色,Aug-19
别克GL8 2018款 ES 28T 豪华型 国VI,40.15万,1次,2.0T,北京(京),自动,白色,Aug-19
奥迪A4L 2019款 40 TFSI 进取型 国VI,32.65万,3次,2.0T,成都(川),自动,白色,Aug-19
江淮 瑞风M4 2019款 商旅系列 2.0L 手动舒适型 国VI,12.35万,3次,2.0L,石家庄(冀),手动,银灰色,Aug-19
丰田 雷凌 2019款 185T CVT运动版 国VI 0过户,14.52万,0次,1.2T,成都(川),自动,红色,Aug-19
林肯MKZ 2019款 2.0T 尊享版 国VI,29.94万,1次,2.0T,成都(川),自动,白色,Aug-19
大众 桑塔纳 2019款 1.5L 手动风尚版 国VI 0过户,9.43万,0次,1.5L,上海(沪),手动,白色,Aug-19
荣威i5 2020款 1.5L 自动4G互联领豪版 0过户,9.54万,0次,1.5L,楚雄(云),自动,蓝色,Sep-19
本田 艾力绅 2019款 2.0L 混动豪华版,33.63万,2次,2.0L,枣庄(鲁),自动,黑色,Sep-19
宝马1系 2020款 120i M运动套装,24.29万,4次,1.5T,北京(京),自动,红色,Sep-19
比亚迪 宋MAX 2019款 1.5T 自动智联睿逸天窗型 7座 国VI,11.06万,1次,1.5T,石家庄(冀),自动,白色,Sep-19
哈弗F7x 2019款 1.5T 两驱极智科技版 0过户,14.86万,0次,1.5T,烟台(鲁),自动,红色,Oct-19
大众 朗逸 2019款 280TSI DSG舒适版 国VI,15.95万,2次,1.4T,北京(京),自动,白色,Oct-19
宝马1系 2020款 120i 时尚型 0过户,21.58万,0次,1.5T,杭州(浙),自动,深灰色,Oct-19
大众 途昂 2020款 380TSI 四驱豪华版 国VI,39.07万,1次,2.0T,徐州(苏),自动,黑色,Oct-19
领克03 2019款 1.5TD DCT劲Pro版 国VI 0过户,16.15万,0次,1.5T,成都(川),自动,红色,Oct-19
丰田 凯美瑞 2019款 2.5G 豪华版 国VI,23.86万,1次,2.5L,青岛(鲁),自动,黑色,Oct-19
林肯MKZ 2020款 2.0T 尊耀版(进口) 准新车 0过户,37.97万,0次,2.0T,北京(京),自动,白色,Nov-19
宝马5系 2020款 530Li 尊享型 豪华套装,55.02万,1次,2.0T,北京(京),自动,黑色,Nov-19
荣威RX5 MAX新能源 2020款 500PHEV 智能座舱旗舰版,23.42万,2次,1.5T,成都(川),自动,白色,Nov-19
日产 轩逸 2020款 1.6L XL CVT悦享版 0过户,14.10万,0次,1.6L,厦门(闽),自动,白色,Nov-19
雷克萨斯NX 2020款 200 前驱 锋行版 国VI 0过户,32.80万,0次,2.0L,嘉兴(浙),自动,白色,Nov-19
丰田 凯美瑞 2019款 2.5G 豪华版 国VI,23.86万,1次,2.5L,扬州(苏),自动,黑色,Nov-19
日产 轩逸 2020款 1.6L XL CVT智享版 0过户,14.53万,0次,1.6L,佛山(粤),自动,红色,Dec-19
宝马1系 2020款 120i M运动套装,24.29万,3次,1.5T,泉州(闽),自动,白色,Dec-19
长城 炮 2019款 2.0T自动汽油四驱运动版GW4C20B 0过户,16.26万,0次,2.0T,北京(京),自动,香槟色,Dec-19
奥迪A4L 2019款 40 TFSI 进取型 国VI 0过户,32.65万,0次,2.0T,嘉兴(浙),自动,白色,Dec-19
日产 天籁 2020款 2.0L XL Upper 智行版,21.69万,1次,2.0L,金华(浙),自动,黑色,Dec-19
五菱汽车 五菱宏光V 2019款 1.5L劲取版国VI LAR,4.86万,1次,1.5L,淄博(鲁),手动,银灰色,Dec-19
奥迪A6L 2019款 45 TFSI quattro 臻选致雅型,50.34万,1次,2.0T,洛阳(豫),自动,黑色,Jan-20
奥迪Q3 2019款 35 TFSI 进取致雅型 0过户,29.50万,0次,1.4T,济南(鲁),自动,深灰色,Jan-20
大众CC 2020款 330TSI 华颜版 国VI,26.79万,1次,2.0T,成都(川),自动,白色,Jan-20
别克 君威 2020款 GS 28T 尊贵型,27.12万,2次,2.0T,郑州(豫),自动,蓝色,Mar-20
广汽传祺 传祺M6 2019款 270T DCT尊享版（七座）国VI 0过户,15.17万,0次,1.5T,石家庄(冀),自动,白色,Mar-20
宝马X1 2020款 sDrive20Li 时尚型,30.26万,1次,1.5T,东莞(粤),自动,白色,Mar-20
马自达 昂克赛拉 2020款 1.5L 自动质悦天窗版 0过户,14.10万,0次,1.5L,惠州(粤),自动,白色,Mar-20
奔驰E级 2020款 改款 E 260 L 运动型,46.65万,1次,1.5T,福州(闽),自动,黑色,Mar-20
雪佛兰 开拓者 2020款 Redline 650T 7座霆版 0过户,31.47万,0次,2.0T,北京(京),自动,深灰色,Apr-20
吉利 帝豪GL 2020款 1.5T DCT尊贵型,12.57万,1次,1.5T,保定(冀),自动,黄色,Apr-20
凯迪拉克CT4 2020款 28T 精英型,28.19万,1次,2.0T,太原(晋),自动,红色,Apr-20
本田 思域 2019款 220TURBO CVT劲动版 国VI 0过户,15.19万,0次,1.5T,西安(陕),自动,白色,Apr-20
丰田 雷凌 2019款 185T CVT豪华版 国VI,14.09万,1次,1.2T,重庆(渝),自动,红色,Apr-20
广汽传祺 传祺GS8 2020款 GS8S 390T 两驱豪华智联版,19.08万,1次,2.0T,北京(京),自动,白色,Apr-20
奥迪Q3 2020款 40 TFSI 时尚动感型,32.76万,1次,2.0T,宁波(浙),自动,白色,May-20
宝马5系新能源 2020款 里程升级版 530Le 豪华套装,54.26万,1次,2.0T,西安(陕),自动,黑色,May-20
别克GL8 2020款 Avenir艾维亚 六座贤礼版,50.57万,1次,2.0T,成都(川),自动,红色,May-20
别克GL8 2020款 陆上公务舱 652T 豪华型,28.10万,2次,2.0T,淄博(鲁),自动,香槟色,May-20
雪佛兰 科鲁泽 2020款 轻混 RS 330T 自动畅快版 准新车 0过户,12.80万,0次,1.3T,武汉(鄂),自动,白色,May-20
日产 天籁 2020款 2.0L XL 舒适版,20.39万,3次,2.0L,廊坊(冀),自动,黑色,May-20
宝马X1 2020款 sDrive20Li 时尚型,30.26万,1次,1.5T,佛山(粤),自动,咖啡色,May-20
丰田 YARiS L 致炫 2020款 1.5L CVT领先版 0过户,9.31万,0次,1.5L,宜昌(鄂),自动,红色,May-20
奥迪A4L 2020款 40 TFSI quattro 豪华动感型,39.49万,1次,2.0T,北京(京),自动,白色,May-20
奔驰A级AMG 2019款 AMG A 35 L 4MATIC 先型特别版 0过户,45.57万,0次,2.0T,北京(京),自动,蓝色,May-20
林肯 飞行家 2020款 3.0T V6 四驱行政版,74.88万,1次,3.0T,北京(京),自动,白色,May-20
奔驰E级 2020款 改款 E 300 L 运动殊享版,54.25万,1次,2.0T,沈阳(辽),自动,黑色,Jun-20
日产 骐达 2021款 1.6L CVT酷动版 0过户,12.36万,0次,1.6L,衡水(冀),自动,白色,Jun-20
本田 缤智 2020款 1.5L CVT豪华版,16.15万,2次,1.5L,东莞(粤),自动,白色,Jun-20
丰田 亚洲龙 2019款 2.0L XLE尊享版,24.40万,1次,2.0L,深圳(粤),自动,银灰色,Jun-20
三菱 欧蓝德 2020款 2.0L 两驱畅享版 5座,18.76万,1次,2.0L,绍兴(浙),自动,黑色,Jun-20
本田 雅阁 2018款 230TURBO 舒适版 国VI,19.52万,1次,1.5T,烟台(鲁),自动,黑色,Jun-20
大众 威然 2020款 330TSI 豪华版 准新车,34.39万,1次,2.0T,长春(吉),自动,黑色,Jun-20
大众 迈腾 2020款 330TSI DSG 领先型,23.87万,2次,2.0T,哈尔滨(黑),自动,黑色,Jun-20
理想汽车 理想ONE 2020款 增程6座版 0过户,35.60万,0次,1.2T,北京(京),自动,白色,Jun-20
宝马1系 2020款 120i M运动套装,24.29万,1次,1.5T,廊坊(冀),自动,白色,Jul-20
丰田 雷凌 2021款 185T CVT豪华版,14.09万,2次,1.2T,南阳(豫),自动,白色,Jul-20
凯迪拉克CT5 2020款 改款 28T 时尚运动型 0过户,31.99万,0次,2.0T,合肥(皖),自动,白色,Jul-20
比亚迪 秦Pro 2020款 超越版 1.5TI 自动尊贵型 0过户,9.75万,0次,1.5T,商丘(豫),自动,深灰色,Jul-20
本田 缤智 2020款 1.5L CVT先锋版,15.07万,1次,1.5L,包头(蒙),自动,白色,Jul-20
奥迪A6L 2020款 40 TFSI 豪华动感型 0过户,44.48万,0次,2.0T,温州(浙),自动,黑色,Jul-20
MINI 2021款 2.0T COOPER S 赛车手 准新车,31.67万,1次,2.0T,北京(京),自动,深灰色,Jul-20
东风风光 风光ix7 2020款 2.0TGDI 自动两驱都市尊贵版,16.92万,1次,2.0T,济宁(鲁),自动,白色,Aug-20
宝马X1 2020款 sDrive20Li 尊享型,32.22万,1次,1.5T,北京(京),自动,白色,Aug-20
丰田 亚洲龙 2019款 2.0L 进取版,21.69万,1次,2.0L,天津(津),自动,黑色,Aug-20
长安CS75 2020款 280T DCT尊贵型 国VI,13.01万,1次,1.5T,苏州(苏),自动,白色,Aug-20
福特 福克斯 2020款 三厢 EcoBoost 180 自动锋潮型,14.85万,2次,1.5T,邯郸(冀),自动,白色,Aug-20
吉利汽车 博瑞 2021款 1.8T 领航版,14.31万,1次,1.8T,湖州(浙),自动,白色,Aug-20
本田 思域 2019款 180TURBO CVT尚动版 国VI 准新车,14.10万,1次,1.0T,宜昌(鄂),自动,白色,Aug-20
大众 宝来 2020款 1.5L 自动精英型 0过户,15.09万,0次,1.5L,惠州(粤),自动,白色,Aug-20
奥迪Q3 2020款 35 TFSI 时尚动感型,31.13万,1次,1.4T,苏州(苏),自动,深灰色,Aug-20
理想汽车 理想ONE 2020款 增程6座版,35.60万,4次,1.2T,乌鲁木齐(新),自动,深灰色,Aug-20
凯迪拉克CT4 2020款 28T 精英型 准新车 0过户,28.19万,0次,2.0T,北京(京),自动,白色,Sep-20
奔驰C级 2020款 改款 C 260 运动版,34.06万,1次,1.5T,北京(京),自动,红色,Sep-20
奔驰A级AMG 2020款 AMG A 35 4MATIC(进口) 准新车,43.40万,1次,2.0T,沈阳(辽),自动,黑色,Sep-20
WEY VV6 2021款 2.0T 两驱智享+,17.58万,1次,2.0T,淮安(苏),自动,深灰色,Sep-20
奇瑞 瑞虎7 2020款 FLY款 1.5T DCT 商务专供版 准新车,16.26万,1次,1.5T,合肥(皖),自动,白色,Sep-20
斯巴鲁 森林人 2021款 2.0i 豪华版 准新车,24.29万,1次,2.0L,昆明(云),自动,绿色,Sep-20
捷豹XFL 2020款 XFL 2.0T P200 两驱赛旗版,45.68万,3次,2.0T,苏州(苏),自动,白色,Sep-20
丰田 亚洲龙 2019款 2.5L 进取版 国VI,22.66万,1次,2.5L,揭阳(粤),自动,黑色,Sep-20
本田 奥德赛 2021款 2.0L 锐・畅享版 准新车,27.77万,1次,2.0L,广州(粤),自动,白色,Sep-20
大众 高尔夫 2021款 280TSI DSG R-Line,18.00万,1次,1.4T,石家庄(冀),自动,白色,Oct-20
宝马3系 2021款 325Li xDrive M运动套装 准新车 0过户,39.28万,0次,2.0T,苏州(苏),自动,蓝色,Oct-20
丰田 汉兰达 2018款 2.0T 两驱豪华版 7座 国VI 0过户,31.46万,0次,2.0T,临沂(鲁),自动,黑色,Oct-20
现代 全新胜达 2020款 380 TGDi GLS 自动两驱豪华版 准新车,24.51万,1次,2.0T,廊坊(冀),自动,白色,Oct-20
本田 英仕派 2019款 260TURBO 精致版 国VI 0过户,20.93万,0次,1.5T,东莞(粤),自动,蓝色,Oct-20
丰田 亚洲龙 2019款 2.0L 豪华版 0过户,23.64万,0次,2.0L,东莞(粤),自动,银灰色,Oct-20
比亚迪 宋Pro 2019款 1.5T 自动尊贵型 准新车,13.00万,2次,1.5T,西安(陕),自动,红色,Oct-20
奔驰C级 2021款 C 200 L 时尚型运动版 0过户,34.71万,0次,1.5T,石家庄(冀),自动,白色,Oct-20
别克GL8 2020款 Avenir艾维亚 四座尊礼版 0过户,57.52万,0次,2.0T,北京(京),自动,蓝色,Oct-20
本田 英仕派 2019款 260TURBO 精致版 国VI 准新车,20.93万,1次,1.5T,天津(津),自动,黑色,Nov-20
本田 皓影 2020款 240TURBO CVT两驱豪华版 准新车 0过户,21.36万,0次,1.5T,东莞(粤),自动,黑色,Nov-20
WEY VV6 2021款 2.0T 两驱儿童呵护版 准新车,17.15万,1次,2.0T,廊坊(冀),自动,黑色,Nov-20
奥迪A6L 2021款 45 TFSI quattro 臻选动感型 准新车 0过户,50.89万,0次,2.0T,北京(京),自动,深灰色,Dec-20
宝马X1 2021款 xDrive25Li 尊享型 准新车,36.88万,1次,2.0T,西安(陕),自动,白色,Dec-20
奇瑞 瑞虎7 2020款 FLY款 1.5T DCT 商务专供版 准新车,16.26万,1次,1.5T,南宁(桂),自动,白色,Dec-20
本田 思域 2019款 220TURBO CVT劲动版 国VI 准新车 0过户,15.19万,0次,1.5T,梅州(粤),自动,白色,Dec-20
丰田 卡罗拉 2019款 1.2T S-CVT GL-i精英版,13.87万,1次,1.2T,太原(晋),自动,白色,Dec-20
奥迪A4L 2020款 40 TFSI 时尚动感型 准新车,34.60万,1次,2.0T,石家庄(冀),自动,红色,Dec-20
WEY 坦克300 2021款 越野版 2.0T 征服者 准新车 0过户,23.21万,0次,2.0T,重庆(渝),自动,深灰色,Dec-20
捷豹XEL 2020款 2.0T 200PS R-DYNAMIC S进取运动版 准新车,34.71万,1次,2.0T,北京(京),自动,白色,Jan-21
大众 2019款 朗逸启航 1.5L 自动风尚版 国VI 准新车,12.15万,1次,1.5L,自贡(川),自动,白色,Jan-21
凯迪拉克XT6 2021款 2.0T 六座四驱豪华型 准新车,48.05万,1次,2.0T,北京(京),自动,白色,Feb-21
奥迪A4L 2020款 45 TFSI quattro 臻选动感型 准新车,43.07万,1次,2.0T,南京(苏),自动,蓝色,Mar-21
奥迪A6L 2021款 45 TFSI quattro 臻选动感型 准新车,50.89万,1次,2.0T,无锡(苏),自动,黑色,Mar-21
本田CR-V 2021款 240TURBO CVT两驱舒适版 准新车,19.52万,1次,1.5T,苏州(苏),自动,黑色,Mar-21
丰田 卡罗拉 2021款 1.2T S-CVT先锋PLUS版 准新车 0过户,13.33万,0次,1.2T,中山(粤),自动,白色,Mar-21
奔驰 威霆 2021款 2.0T 精英版 7座 准新车 0过户,31.89万,0次,2.0T,北京(京),自动,黑色,Apr-21
奔驰 威霆 2021款 2.0T 精英版 7座 准新车 0过户,31.89万,0次,2.0T,北京(京),自动,黑色,Apr-21
本田 思域 2019款 220TURBO CVT燃动版 国VI 准新车 0过户,15.84万,0次,1.5T,惠州(粤),自动,白色,Apr-21
别克 昂科威Plus 2021款 Avenir艾维亚 七座版 准新车 0过户,33.64万,0次,2.0T,北京(京),自动,红色,May-21
奥迪A6L 2021款 40 TFSI 豪华致雅型 准新车,45.57万,1次,2.0T,佛山(粤),自动,黑色,May-21
丰田 雷凌 2021款 TNGA 1.5L 领先版 准新车 0过户,12.90万,0次,1.5L,北京(京),自动,白色,May-21
吉利汽车 豪越 2020款 1.8TD DCT旗舰型 7座 准新车 0过户,15.48万,0次,1.8T,石家庄(冀),自动,蓝色,May-21
日产 轩逸 2021款 经典 1.6XL CVT豪华版 准新车 0过户,12.87万,0次,1.6L,中山(粤),自动,白色,Jun-21
五菱汽车 五菱凯捷 2020款 1.5T 自动旗舰型 准新车 0过户,12.68万,0次,1.5T,苏州(苏),自动,深灰色,Jun-21
丰田 RAV4 2021款 2.0L CVT两驱风尚版 准新车 0过户,21.25万,0次,2.0L,重庆(渝),自动,深灰色,Jul-21
比亚迪 宋PLUS 2020款 1.5T 自动尊贵型 准新车,13.55万,1次,1.5T,赣州(赣),自动,深灰色,Jul-21
奔驰C级 2021款 C 260 L 运动版 准新车,37.64万,1次,1.5T,盐城(苏),自动,白色,Jul-21
大众 2019款 朗逸启航 1.5L 自动舒适版 国VI 准新车,13.34万,1次,1.5L,淮安(苏),自动,白色,Jul-21
起亚 K5凯酷 2020款 270T CVVD 豪华科技版 准新车,19.30万,1次,1.5T,宁波(浙),自动,白色,Jul-21
长安UNI-K 2021款 2.0T 尊贵型 准新车 0过户,18.44万,0次,2.0T,唐山(冀),自动,黑色,Jul-21
别克GL8 2021款 陆上公务舱 652T 舒适型 准新车,25.28万,2次,2.0T,北京(京),自动,咖啡色,Aug-21
别克GL8 2021款 ES陆尊 653T 尊享型 准新车,36.90万,3次,2.0T,北京(京),自动,白色,Aug-21
名爵 MG6 2021款 Pro 1.5T 自动Trophy豪华版 准新车 0过户,13.44万,0次,1.5T,金华(浙),自动,白色,Aug-21
雪佛兰 科鲁泽 2022款 320 自动悦享版 准新车 0过户,12.15万,0次,1.5L,武汉(鄂),自动,白色,Oct-21
丰田 雷凌 2022款 双擎 1.8H E-CVT运动版 准新车 0过户,16.15万,0次,1.8L,洛阳(豫),自动,白色,Nov-21
丰田 威兰达 2022款 2.0L CVT两驱领先版 准新车,18.65万,1次,2.0L,长沙(湘),自动,黑色,Dec-21
大众 途昂 2021款 380TSI 四驱尊崇豪华版 准新车,37.12万,1次,2.0T,郑州(豫),自动,黑色,Dec-21
大众 途昂 2021款 380TSI 四驱尊崇豪华版 准新车,37.12万,1次,2.0T,石家庄(冀),自动,黑色,Feb-22
丰田 凯美瑞 2021款 2.5G 豪华版 准新车 0过户,23.86万,0次,2.5L,河源(粤),自动,黑色,Feb-22
大众 途观L 2022款 330TSI 自动两驱智享版 准新车,25.38万,1次,2.0T,雅安(川),自动,白色,Feb-22
