电影名,上映年度,电影英文名,类型,上映时间,国家及地区,累计票房
茉莉花开,2004,Jasmine Women,爱情,2004-6-15（中国）,中国,521.8万
无间道2,2003,Mou gaan dou II,警匪/动作,2003-9-5（中国）,中国香港/中国/新加坡,800.8万
无间道3,2003,Mou gaan dou III: Jung gik mou gaan,警匪,2003-12-11（中国）,中国香港/中国,3601.0万
墨攻,2006,Muk gong,战争,2006-11-23（中国）,中国/日本/韩国/中国香港,6701.8万
武士,2003,Musa,战争,2003-1-10（中国）,韩国/中国,无
本命年,1989,Black Snow,剧情,1989-2-1（中国）,中国,3.8万
蓝莓之夜,2007,My Blueberry Nights,爱情/公路,2007-12-22（中国）,中国香港/中国/法国,1207.4万
那时花开,1900,Na shi hua kai,爱情,2002-5（中国）,中国,无
男儿本色,2007,Naam yi boon sik,警匪,2007-7-19（中国）,中国香港/中国,3408.7万
男才女貌,2007,Nan cai nu mao,爱情,2007-1-8（中国）,中国,400.0万
Nan ren he,1900,Nan ren he,,1998（中国）,,无
南京！南京！,2009,City of Life and Death,战争/剧情/历史,2009-4-22（中国）,中国/中国香港,15981.0万
女人不坏,2008,All About Women,爱情/喜剧,2008-12-11（中国）,中国,1983.2万
泥鳅也是鱼,2006,Loach Is Fish Too,剧情,2006-4-15（中国）,中国,17.5万
春江遗恨,1944,Noroshi wa Shanghai ni agaru,剧情/战争,1944-11-22（中国）,日本/中国,无
女儿经,1934,Nu er jing,,1934-10-9（中国）,,无
暖,2004,Nuan,剧情,2004-10-20（中国）,中国,601.0万
一个人的奥林匹克,2008,"One Man Olympics, The",纪录片,2008-5-17（中国）,中国/中国香港,146.5万
面纱,2006,"Painted Veil, The",爱情,2006-12-29（中国）,中国/美国,302.6万
庭院里的女人,2001,Pavilion of Women,爱情,2001-4-20（中国）,中国/美国,无
爱的是你,2006,Love In Memory,爱情/剧情,2006-8-30（中国）,中国,无
漂亮妈妈,2000,Breaking the Silence,剧情,2000-4-28（中国）,中国,无
喜马拉雅王子,2006,Prince of the Himalayas,剧情,2006-10-20（中国）,中国,400.5万
南京浩劫,1900,Purple Mountain,剧情,2008（中国）,中国/英国/美国,无
变脸,1995,Bian Lian,剧情,1995-6-9（中国）,中国/中国香港,3.2万
栖霞寺1937,1900,Qi xia si 1937,战争,2004（中国）,中国,无
七夜,2005,Qi ye,恐怖/惊悚,2005-8-11（中国）,中国,501.2万
旗鱼,2008,Sailfish,剧情,2008-6-27（中国）,中国,16.4万
千里走单骑,2005,Riding Alone for Thousands of Miles,剧情/公路,2005-12-22（中国）,中国香港/中国/日本,3001.3万
青红,2005,Qing hong,剧情,2005-6-3（中国）,中国,414.3万
情人结,2005,Qing ren jie,爱情,2005-1-8（中国）,中国,521.9万
情欲宝鉴,1929,Warnings for the Lovers,爱情,1929-11-2（中国）,中国,无
秋菊打官司,1992,The Story of Qiu-Ju,喜剧/剧情,1992-2-1（中国）,中国/中国香港,5.9万
求求你表扬我,2005,"Qiuqiu ni, biaoyang wo",喜剧,2005-6-17（中国）,中国,0.5万
日出日落,2005,"Sunrise, Sunset",剧情,2005-9-15（中国）,中国,无
如果·爱,2005,Perhaps Love,歌舞/爱情,2005-12-1（中国）,中国/马来西亚/中国香港,3007.7万
三国之见龙卸甲,2008,Three Kingdoms: Resurrection of the Dragon,战争,2008-4-3（中国）,中国/韩国/中国香港,6395.3万
赛龙夺锦,1900,Dragon-Boat Race,音乐/爱情,1999（中国）,中国,无
深海寻人,2008,Missing,惊悚,2008-6-12（中国）,中国/中国香港,1962.1万
三毛流浪记,1949,San mao liu lang ji,喜剧,1949-12（中国）,中国,无
38度,2003,San shi ba du,爱情,2003-10-24（中国）,中国,无
神话,2005,San wa,奇幻,2005-9-23（中国）,中国/中国香港,9701.9万
三峡好人,2006,Still Life,剧情,2006-12-14（中国）,中国,31.3万
色·戒,2007,"Lust, Caution",剧情,2007-11-1（中国）,美国/中国/中国台湾/中国香港,13773.1万
Sen blain,1900,Sen blain,冒险,1986（中国）,中国,无
西洋镜,2000,Shadow Magic,爱情,2000-3-2（中国）,中国/德国/中国台湾/美国,200.1万
伤逝,1900,Shang shi,剧情,1981（中国）,中国,无
上学路上,2004,A Unique Schooling,剧情,2004-9-1（中国）,中国,318.9万
Shang yi dang,1900,Shang yi dang,喜剧,1992（中国）,中国,无
上海1976,1900,Shanghai 1976,剧情,2008（中国）,中国/美国,无
上海纪事,1900,Shanghai jishi,剧情,1998（中国）,中国,无
上海伦巴,2006,lunba,爱情/剧情,2006-2-10（中国）,中国,152.7万
红美丽,2007,Shanghai Red,剧情,2007-4-29（中国）,美国/中国,600.9万
生活秀,2002,Life Show,剧情,2002-10-18（中国）,中国,无
爱情的牙齿,2007,Teeth of love,爱情,2007-5-18（中国）,中国,50.5万
生死抉择,2000,Fatal Decision,剧情,2000-6-21（中国）,中国,11659.0万
保持通话,2008,Connected,惊悚,2008-9-27（中国）,中国/中国香港,5001.1万
生死同心,1936,Shengsi tongxin,,1936-11-29（中国）,,无
时差7小时,2004,Shi cha qi xiao shi,爱情,2004-10-23（中国）,英国/中国,无
十面埋伏,2004,House of Flying Daggers,动作,2004-7-16（中国）,中国/中国香港,15360.2万
十七,2008,Seventeen,剧情,2008-6-18（中国）,中国,无
世界,2005,Shijie,剧情,2005-4-15（中国）,中国/日本/法国,200.6万
世界上最疼我的那个人去了,2002,Gone Is the One Who Held Me Dearest in the World,亲情/剧情,2002-10-28（中国）,中国,10.0万
十字街头,1937,Shizi jietou,,1937-4-15（中国）,,无
手机,2003,Cell Phone,剧情,2003-12-17（中国）,中国,5608.7万
蜀山传,2001,The Legend of Zu,武侠,2001-8-14（中国）,中国香港/中国,无
双食记,2008,Shuang Shi Ji,悬疑/惊悚,2008-3-7（中国）,中国,680.6万
说好不分手,2000,Never Say Divorce,剧情,2000-2-14（中国）,中国,无
说出你的秘密,1900,Get out Your Secret,,1999（中国）,,无
疯狂的赛车,2009,Silver Medalist,喜剧,2009-1-20（中国）,中国,10495.9万
扣篮对决,2008,Slam,运动/剧情/动作,2008-4-8（中国）,中国,40.2万
不见不散,1999,Bu jian bu san,喜剧/爱情,1999-1-5（中国）,中国,无
生日快乐,2007,Sun yat fai lok,爱情,2007-1-16（中国）,中国/中国香港,无
太行山上,2005,Tai Hang shan shang,战争,2005-8-15（中国）,中国,409.4万
太太万岁,1947,Tai tai wan sui,剧情,1947-12-1（中国）,中国,无
太阳照常升起,2007,The Sun Also Rises,剧情,2007-9-14（中国）,中国/中国香港,1732.8万
爱情呼叫转移,2007,Call for Love,喜剧,2007-2-8（中国）,中国,1326.9万
欲望桃花,1900,Tao hua man tian hong,,1995（中国）,,无
陶器人形,2006,Tao qi ren xing,惊悚/悬疑,2006-4-7（中国）,中国,3.2万
头文字D,2005,Tau man ji D,动作,2005-6-19（中国）,中国/中国香港,6303.1万
投名状,2007,The Warlords,动作/战争/剧情,2007-12-12（中国）,中国/中国香港,19548.9万
魔比斯环,2006,Thru the Moebius Strip,动画,2006-8-4（中国）,中国/美国,365.1万
天地英雄,2003,Tian di ying xiong,动作,2003-9-3（中国）,中国/中国香港/美国,4101.7万
天黑请闭眼,2004,The Game Of Killing,恐怖/惊悚,2004-4-1（中国）,中国,2004.7万
天伦,1935,Tian lun,剧情,1935-9-7（中国）,中国,无
天堂回信,1992,Tian tang hui xing,剧情/亲情,1992-2-1（中国）,中国,0.1万
天堂口,2007,Blood Brothers,动作,2007-8-16（中国）,中国台湾/中国,3217.1万
天下无贼,2004,A World Without Thieves,剧情,2004-12-9（中国）,中国/中国香港,12000.5万
天狗,2006,Tiangou,剧情,2006-6-20（中国）,中国,681.3万
铁三角,2007,Tie saam gok,动作/犯罪,2007-10-3（中国）,中国/中国香港,2932.8万
熊猫回家路,2009,Trail of the Panda,剧情,2009-5-8（中国）,中国,962.2万
天脉传奇,2002,The Touch,动作,2002-8-1（中国）,中国/中国香港/中国台湾/日本,2600.0万
再说一次我爱你,2005,All About Love,爱情,2005-10-20（中国）,中国/中国香港,880.3万
土地,1900,Tudi,剧情,1954（中国）,中国,无
图雅的婚事,2006,Tuya's Marriage,剧情,2006-9-21（中国）,中国,200.7万
双镖,2006,Twin Daggers,悬疑/动作,2006-10-13（中国）,中国/美国,500.1万
首席执行官,2002,C.E.O.,剧情,2002-10-21（中国）,中国,232.0万
画皮,2008,painted skin,爱情,2008-9-26（中国）,中国/中国香港/新加坡,20470.8万
北京等待,2008,Waiting in Beijing,爱情/剧情,2008-10-24（中国）,中国,329.4万
顽主,1988,The Troubleshooters,剧情,1988-2-1（中国）,中国,6.0万
望山,2006,Wang shan,剧情,2006-7-28（中国）,中国,0.5万
万家灯火,1900,Wanjia denghuo,,1948（中国）,,无
伯爵夫人,2006,The White Countess,爱情,2006-6-16（中国）,英国/美国/德国/中国,220.2万
我爱你,2002,Wo ai ni,爱情,2002-10-25（中国）,中国,无
我的1919,1999,My 1919,剧情,1999-9-16（中国）,中国,无
我的父亲母亲,1999,My Father and Mother,剧情/爱情,1999-10-16（中国）,中国,无
我的美丽乡愁,2003,Wo de mei li xiang chou,剧情,2003-1-17（中国）,中国,200.2万
我的兄弟姐妹,2001,Roots and Branches,剧情/亲情,2001-6-13（中国）,中国,2300.2万
我和爸爸,2003,My Father and I,剧情,2003-12-3（中国）,中国,50.1万
卧虎藏龙,2000,Wo hu cang long,武侠/动作,2000-10-18（中国）,中国台湾/中国香港/美国/中国,1000.0万
我叫刘跃进,2008,Lost and Found,喜剧,2008-1-18（中国）,中国,1200.0万
我们俩,2006,You and Me,剧情,2006-3-3（中国）,中国,30.0万
我心飞翔,2005,Wo xin fei xiang,剧情,2005-4-26（中国）,中国,无
我这一辈子,1950,Wo zhe yi bei zi,剧情,1950-2-1（中国）,中国,1.2万
无极,2005,Wu ji,奇幻,2005-12-15（中国）,中国/中国香港/日本/韩国,17500.3万
吴清源,1900,The Go Master,剧情,2006（中国）,日本/中国,无
散打,2004,San Da,动作,2004-1-1（中国）,中国,无
喜盈门,1900,Xi ying men,剧情,1981（中国）,中国,无
茶马古道系列：德拉姆,2004,Cha ma gu dao xi lie,纪录片,2004-9-3（中国）,中国/日本,无
Xia jiang yiying,1900,Xia jiang yiying,动作,1985（中国）,中国,无
相伴永远,2000,To be With You Forever,主旋律,2000-8-25（中国）,中国,无
香魂女,1992,Xiang hu nv,剧情,1992-2-1（中国）,中国,1.0万
象鸡毛一样飞,2002,Xiang ji mao yi yang fei,文艺/艺术片,2002-10-28（中国）,中国,无
向日葵,2005,Xiang ri kui,爱情,2005-10-18（中国）,中国香港/中国/荷兰,0.6万
小城之春,2002,Xiao cheng zhi chun,爱情,2002-7-26（中国）,中国/中国香港/法国/荷兰,150.0万
小娇妻谋生记,1995,Xiao jiao qi mou sheng ji,喜剧,1995-12-7（中国）,中国,0.1万
长恨歌,2005,Changhen ge,爱情,2005-9-29（中国）,中国香港/中国,601.4万
夏日暖洋洋,2001,Xiari nuanyangyang,剧情,2001-9-30（中国）,中国,0.1万
新潮姑娘,1900,Xin chao gu niang,剧情,1991（中国）,中国,无
新警察故事,2004,New Police Story,动作,2004-9-24（中国）,中国香港/中国,4300.4万
心中有鬼,2007,The Matrimony,惊悚,2007-2-8（中国）,中国,1204.4万
幸福时光,2000,Xingfu shiguang,喜剧,2000-12-31（中国）,中国,505.7万
心急吃不了热豆腐,2005,Eat Hot Tofu Slowly,喜剧,2005-4-20（中国）,中国,0.1万
新旧上海,1936,The New and Old Shanghai,剧情,1936-5-1（中国）,中国,无
兄弟,2004,Xiong di,剧情,2004-4-1（中国）,中国,0.2万
七剑,2005,The Seven Swords,动作,2005-7-29（中国）,韩国/中国香港/中国,8345.3万
血战到底,2006,Karmic Mahjong,喜剧,2006-4-20（中国）,中国,200.2万
寻枪,2002,Xun qiang,剧情,2002-5-5（中国）,中国,903.1万
烟雨红颜,2002,Yan yu hong yan,爱情,2002-2-26（中国）,中国,600.1万
靖国神社,1900,Yasukuni,,2007（中国）,,无
柔道龙虎榜,2004,Yau doh lung fu bong,动作,2004-7-5（中国）,中国香港/中国,500.0万
野玫瑰,1900,Wild Rose,爱情,1932（中国）,中国,无
夜·明,2007,Road To Dawn,传记/剧情,2007-6-28（中国）,中国,102.2万
夜宴,2006,The Banquet,剧情/动作,2006-9-15（中国）,中国/中国香港,13001.0万
姚明年,2005,"Year of the Yao, The",纪录片,2005-7-14（中国）,美国/中国,80.2万
一个陌生女人的来信,2005,Letter From An Unknown Woman,剧情,2005-3-4（中国）,中国,800.6万
一剪梅,1931,A Spray of Plum Blossoms,剧情,1931-7-23（中国）,中国,无
疑神疑鬼,2005,The Ghost Inside,恐怖/惊悚,2005-4-28（中国）,中国,466.9万
一声叹息,2000,Yi sheng tan xi,爱情/剧情,2000-9-15（中国）,中国,2800.0万
一石二鸟,2005,Yi shi er niao,喜剧,2005-1-21（中国）,中国/中国台湾,0.6万
城南旧事,1982,Cheng nan jiu shi,剧情,1982-2-1（中国）,中国,0.4万
一百个,2001,Yibai ge,喜剧/剧情,2001-11-22（中国）,中国,无
银饰,2005,Yin shi,剧情,2005-5-13（中国）,中国,无
硬汉,2008,Ying han,动作/喜剧,2008-11-28（中国）,中国香港/中国,772.9万
英雄,2002,Hero,武侠/动作,2002-12-24（中国）,中国香港/中国,25001.0万
夜·上海,2007,The Longest Night in Shanghai,剧情,2007-6-26（中国）,日本/中国,451.9万
樱桃,2008,Cherries,剧情,2008-5-9（中国）,中国/日本,76.8万
邮缘,1900,You yuan,,1984（中国）,,0.4万
赤壁(上),2008,Red Cliff,动作/历史/剧情,2008-7-10（中国）,中国/中国香港/韩国,27686.5万
玉观音,2003,Jade Goddess of Mercy,犯罪/剧情,2003-12-25（中国）,中国,800.7万
黄石的孩子,2008,"Children of Huang Shi, The",战争,2008-4-3（中国）,澳大利亚/中国/德国,1233.2万
鸳鸯蝴蝶,2005,Yuan yang hu die,爱情,2005-2-14（中国）,中国,200.1万
缘，妙不可言,1999,"Yuan, miao bu ke yan",剧情/爱情,1999-5-13（中国）,中国香港/中国,1.2万
月蚀,1999,Yue shi,剧情,1999-10-22（中国）,中国,无
云水谣,2006,The Knot,爱情/战争,2006-12-1（中国）,中国/中国台湾,3614.9万
二十五个孩子一个爹,2002,25 Kids and a Dad,剧情,2002-5-25（中国）,中国,62.1万
600,2007,600,剧情,2007-7-7（中国）,中国,无
第8届上海国际电影节,2005,"8th Shanghai International Film Festival, The",,2005-6-23（中国）,,无
情癫大圣,2005,Ching din dai sing,喜剧,2005-12-22（中国）,中国香港/中国,5000.6万
阿金的故事,1997,A Jin de gu shi,动作/剧情,1997-7-29（中国）,中国香港,0.3万
阿嫂传奇,2007,Ah sou,剧情,2007-8-13（中国）,中国香港,无
危险人物,2007,Undercover,犯罪,2007-7-3（中国）,中国香港,无
阿童木,2009,Astro Boy,动画,2009-10-23（中国）,中国香港/美国/日本,4707.5万
百年好合,2003,Baak nin hiu gap,喜剧,2003-2-1（中国）,中国香港,1000.2万
战神再现,2006,Lethal Ninja,动作/惊悚,2006-4-30（中国）,中国/中国香港,300.3万
白莲邪神,1993,Bai lian xie shen,,1993-12-2（中国）,,无
白云塔,1928,Baiyun Ta,,1928-4-11（中国）,,无
枪林恋曲,2004,Ai zuozhan,枪战,2004-6-17（中国）,中国香港/中国,200.0万
不死情谜,2005,Bat sei ching mai,动作,2005-9-23（中国）,中国香港,94.7万
爆裂都市,2004,Bau lit do see,动作,2004-11-4（中国）,中国香港,300.3万
宝贝计划,2006,Rob-B-Hood,喜剧/动作,2006-9-28（中国）,中国香港/中国,9405.4万
连环局,2007,Chain Game,惊悚,2007-6-8（中国）,中国香港,757.0万
不能说的秘密,2007,Secret,爱情,2007-7-31（中国）,中国香港/中国台湾,3675.7万
短信一月追,2005,Love Message,爱情,2005-8-11（中国）,中国,0.2万
大鸿米店,1900,Da hong mi dian,剧情,2004（中国）,中国,无
C+侦探,2007,C+ jing taam,惊悚,2007-9-25（中国）,中国香港,954.5万
寻找周杰伦,2003,Cham chau chow git lun,爱情,2003-11-13（中国）,中国香港,150.0万
七年很痒,2004,Chat nin han yeung,喜剧,2004-3-24（中国）,中国香港,260.0万
长江七号,2008,CJ7,喜剧,2008-1-30（中国）,中国香港/中国,3398.6万
大闹天宫,1964,Da nao tian gong,动画/奇幻,1964-2-1（中国）,中国,0.9万
夕阳天使,2005,Chik yeung tin si,动作/冒险/喜剧/犯罪/剧情/爱情/惊悚,2005-5-3（中国）,中国香港,无
千杯不醉,2005,Chin bui but dzui,爱情,2005-8-18（中国）,中国香港,579.4万
千机变2,2004,The Huadu Chronicles: Blade of the Rose,动作,2004-8-12（中国）,中国香港/中国,2300.0万
情意拳拳,2006,Ching yee kuen kuen,喜剧,2006-10-12（中国）,中国香港,无
大腕,2001,Da wan,喜剧,2001-12-21（中国）,中国/中国香港,4300.4万
绝种好男人,2003,Chuet chung ho nam yun,喜剧,2003-5-1（中国）,中国香港,603.1万
神勇铁金刚,2003,Chuet chung tit gam gong,喜剧,2003-10-23（中国）,中国香港,500.1万
大块头有大智慧,2003,Running on Karma,动作,2003-9-26（中国）,中国香港/中国,1401.5万
大事件,2004,Breaking News,枪战/动作,2004-6-10（中国）,中国香港/中国,650.2万
春田花花同学会,2006,"McDull, the Alumni",动画/喜剧,2006-1-26（中国）,中国香港/中国,1200.7万
虫不知,2005,Chung buk ji,爱情,2005-7-21（中国）,中国香港,110.3万
错爱,2008,In Love With The Dead,恐怖/惊悚,2008-1-8（中国）,中国香港,642.8万
冲锋陷阵,2004,Chung on chi ma gun,动作,2004-6-23（中国）,中国香港,306.4万
大城小事,2004,"Leaving Me, Loving You",爱情,2004-2-12（中国）,中国,802.4万
大路,1935,Dalu,喜剧/音乐/剧情/战争,1935-1-1（中国）,中国,无
舞吧！昴,2010,Dance Subaru,剧情/歌舞/艺术片,2010-12-3（中国）,中国/日本/韩国/新加坡,47.1万
大搜查,2008,Lady Cop & Papa Crook,喜剧/剧情/犯罪,2008-12-23（中国）,中国香港/中国,1664.1万
雏菊,2006,Daisy,爱情/剧情,2006-4-30（中国）,韩国/中国香港,931.6万
特务迷城,2001,Dak miu mai shing,动作,2001-1-31（中国）,中国香港,4000.7万
